,source,active,quantity,quantity_annual,quantity_cumulative,cost,cost_annual,cost_cumulative,t_interval,consequence-cost
69,termite_treatment,True,0.02,2.118172864087438e-05,0.2750000000000001,2.0,0.002118172864087438,27.5,12.0,0.0
70,risk,False,,,,,,,15.0,0.0
71,risk,True,0.005,5.222668470228178e-06,0.05999999999999999,0.0,0.0,0.0,15.0,0.0
72,conditional_failure,False,,,,,,,15.0,0.0
73,conditional_failure,True,0.01,1.0445336940456356e-05,0.23000000000000012,35.0,0.03655867929159725,805.0,15.0,0.0
74,functional_failure,False,,,,,,,15.0,0.0
75,functional_failure,True,0.005,5.222668470228178e-06,0.05999999999999999,35.0,0.03655867929159725,420.0,15.0,0.0
76,inspection_groundline,False,,,,,,,15.0,0.0
77,inspection_groundline,True,0.98,0.0010236430201647228,48.305000000000014,49.0,0.05118215100823615,2415.25,15.0,0.0
78,inspection_protection,False,,,,,,,15.0,0.0
79,inspection_protection,True,1.0,0.0010445336940456357,79.52,0.0,0.0,0.0,15.0,0.0
80,pole_saver_rod,False,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0
81,pole_saver_rod,True,,,,,,,15.0,0.0
82,termite_treatment,False,,,,,,,15.0,0.0
83,termite_treatment,True,0.015,1.5668005410684534e-05,0.20000000000000007,1.5,0.0015668005410684534,20.0,15.0,0.0
84,risk,False,,,,,,,18.0,0.0
85,risk,True,0.005,5.3438785870785015e-06,0.05999999999999999,0.0,0.0,0.0,18.0,0.0
86,conditional_failure,False,,,,,,,18.0,0.0
87,conditional_failure,True,0.01,1.0687757174157003e-05,0.2550000000000001,35.0,0.03740715010954951,892.5,18.0,0.0
88,functional_failure,False,,,,,,,18.0,0.0
89,functional_failure,True,0.005,5.3438785870785015e-06,0.05999999999999999,35.0,0.03740715010954951,420.0,18.0,0.0
90,inspection_groundline,False,,,,,,,18.0,0.0
91,inspection_groundline,True,0.99,0.0010580879602415433,39.26999999999999,49.5,0.052904398012077164,1963.5,18.0,0.0
92,inspection_protection,False,,,,,,,18.0,0.0
93,inspection_protection,True,1.0,0.0010687757174157003,77.65000000000002,0.0,0.0,0.0,18.0,0.0
94,pole_saver_rod,False,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0
95,pole_saver_rod,True,,,,,,,18.0,0.0
96,termite_treatment,False,,,,,,,18.0,0.0
97,termite_treatment,True,0.015,1.6031635761235506e-05,0.1950000000000001,1.5,0.0016031635761235505,19.5,18.0,0.0
98,risk,False,,,,,,,21.0,0.0
99,risk,True,0.005,5.372617915531701e-06,0.08,0.0,0.0,0.0,21.0,0.0
100,conditional_failure,False,,,,,,,21.0,0.0
101,conditional_failure,True,0.005,5.372617915531701e-06,0.24000000000000013,17.5,0.018804162704360954,840.0,21.0,0.0
102,functional_failure,False,,,,,,,21.0,0.0
103,functional_failure,True,0.005,5.372617915531701e-06,0.08,35.0,0.03760832540872191,560.0,21.0,0.0
104,inspection_groundline,False,,,,,,,21.0,0.0
105,inspection_groundline,True,0.98,0.0010530331114442133,33.410000000000004,49.0,0.05265165557221067,1670.5,21.0,0.0
106,inspection_protection,False,,,,,,,21.0,0.0
107,inspection_protection,True,1.0,0.0010745235831063403,77.20000000000002,0.0,0.0,0.0,21.0,0.0
108,pole_saver_rod,False,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0
109,pole_saver_rod,True,,,,,,,21.0,0.0
110,termite_treatment,False,,,,,,,21.0,0.0
111,termite_treatment,True,0.015,1.6117853746595102e-05,0.21500000000000008,1.5,0.0016117853746595104,21.5,21.0,0.0
112,risk,False,,,,,,,24.0,0.0
113,risk,True,0.005,5.456073155028863e-06,0.045,0.0,0.0,0.0,24.0,0.0
114,conditional_failure,False,,,,,,,24.0,0.0
115,conditional_failure,True,0.01,1.0912146310057726e-05,0.27000000000000013,35.0,0.03819251208520204,945.0,24.0,0.0
116,functional_failure,False,,,,,,,24.0,0.0
117,functional_failure,True,0.005,5.456073155028863e-06,0.045,35.0,0.03819251208520204,315.0,24.0,0.0
118,inspection_groundline,False,,,,,,,24.0,0.0
119,inspection_groundline,True,0.985,0.001074846411540686,28.63000000000001,49.25,0.0537423205770343,1431.5,24.0,0.0
120,inspection_protection,False,,,,,,,24.0,0.0
121,inspection_protection,True,1.0,0.0010912146310057727,76.06499999999994,0.0,0.0,0.0,24.0,0.0
122,pole_saver_rod,False,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0
123,pole_saver_rod,True,,,,,,,24.0,0.0
124,termite_treatment,False,,,,,,,24.0,0.0
125,termite_treatment,True,0.02,2.1824292620115452e-05,0.2,2.0,0.0021824292620115453,20.0,24.0,0.0
126,risk,False,,,,,,,27.0,0.0
127,risk,True,0.005,5.357850858863493e-06,0.049999999999999996,0.0,0.0,0.0,27.0,0.0
128,conditional_failure,False,,,,,,,27.0,0.0
129,conditional_failure,True,0.015,1.6073552576590476e-05,0.2200000000000001,52.5,0.05625743401806667,770.0,27.0,0.0
130,functional_failure,False,,,,,,,27.0,0.0
131,functional_failure,True,0.005,5.357850858863493e-06,0.049999999999999996,35.0,0.03750495601204445,350.0,27.0,0.0
132,inspection_groundline,False,,,,,,,27.0,0.0
133,inspection_groundline,True,0.985,0.001055496619196108,26.265000000000004,49.25,0.052774830959805404,1313.25,27.0,0.0
134,inspection_protection,False,,,,,,,27.0,0.0
135,inspection_protection,True,1.0,0.0010715701717726985,77.495,0.0,0.0,0.0,27.0,0.0
136,pole_saver_rod,False,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0
137,pole_saver_rod,True,,,,,,,27.0,0.0
138,termite_treatment,False,,,,,,,27.0,0.0
139,termite_treatment,True,0.02,2.143140343545397e-05,0.23000000000000004,2.0,0.002143140343545397,23.0,27.0,0.0
140,risk,False,,,,,,,30.0,0.0
141,risk,True,0.01,1.1033387029150208e-05,0.045,0.0,0.0,0.0,30.0,0.0
142,conditional_failure,False,,,,,,,30.0,0.0
143,conditional_failure,True,0.01,1.1033387029150208e-05,0.23500000000000013,35.0,0.03861685460202573,822.5,30.0,0.0
144,functional_failure,False,,,,,,,30.0,0.0
145,functional_failure,True,0.01,1.1033387029150208e-05,0.045,70.0,0.07723370920405145,315.0,30.0,0.0
146,inspection_groundline,False,,,,,,,30.0,0.0
147,inspection_groundline,True,0.985,0.0010867886223712955,22.625000000000004,49.25,0.05433943111856478,1131.25,30.0,0.0
148,inspection_protection,False,,,,,,,30.0,0.0
149,inspection_protection,True,1.0,0.0011033387029150208,75.21999999999998,0.0,0.0,0.0,30.0,0.0
150,pole_saver_rod,False,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0
151,pole_saver_rod,True,,,,,,,30.0,0.0
152,termite_treatment,False,,,,,,,30.0,0.0
153,termite_treatment,True,0.025,2.7583467572875522e-05,0.23500000000000004,2.5,0.002758346757287552,23.5,30.0,0.0
154,risk,False,,,,,,,33.0,0.0
155,risk,True,0.005,5.259199654996502e-06,0.030000000000000002,0.0,0.0,0.0,33.0,0.0
156,conditional_failure,False,,,,,,,33.0,0.0
157,conditional_failure,True,0.01,1.0518399309993005e-05,0.2600000000000001,35.0,0.03681439758497552,910.0,33.0,0.0
